,Date_of_pred,2021-09-01,2021-10-01,2021-11-01,2021-12-01,2022-01-01,2022-02-01,2022-03-01,2022-04-01,2022-05-01,2022-06-01,2022-07-01,2022-08-01
0,<div style='color: blue'>2021-08-01</div>,<div style='color: blue'>71.22545320310346</div><div style='color: red'>49.310344827586206</div><div style='color: green'>51.724137931034484</div>,<div style='color: blue'>60.47998425778571</div><div style='color: red'>36.57142857142857</div><div style='color: green'>32.857142857142854</div>,<div style='color: blue'>36.36860979385185</div><div style='color: red'>36.18518518518518</div><div style='color: green'>38.1650576974318</div>,<div style='color: blue'>32.36735292475</div><div style='color: red'>44.57142857142857</div><div style='color: green'>59.285714285714285</div>,<div style='color: blue'>80.74426500214285</div><div style='color: red'>101.21428571428571</div><div style='color: green'>179.36276874762248</div>,<div style='color: blue'>0.0</div><div style='color: red'>260.61538461538464</div><div style='color: green'>316.6571074526752</div>,<div style='color: blue'>0.0</div><div style='color: red'>431.8076923076923</div><div style='color: green'>465.60993429756985</div>,<div style='color: blue'>0.0</div><div style='color: red'>464.7307692307692</div><div style='color: green'>438.79051815451936</div>,<div style='color: blue'></div><div style='color: red'></div><div style='color: green'></div>,<div style='color: blue'></div><div style='color: red'></div><div style='color: green'></div>,<div style='color: blue'></div><div style='color: red'></div><div style='color: green'></div>,<div style='color: blue'></div><div style='color: red'></div><div style='color: green'></div>
1,<div style='color: blue'>2021-09-01</div>,<div style='color: blue'></div><div style='color: red'></div><div style='color: green'></div>,<div style='color: blue'>49.370370370370374</div><div style='color: red'>37.925925925925924</div><div style='color: green'>32.96296296296296</div>,<div style='color: blue'>16.814814814814813</div><div style='color: red'>36.18518518518518</div><div style='color: green'>38.1650576974318</div>,<div style='color: blue'>65.89285714285714</div><div style='color: red'>44.57142857142857</div><div style='color: green'>59.285714285714285</div>,<div style='color: blue'>94.10714285714286</div><div style='color: red'>101.21428571428571</div><div style='color: green'>179.36276874762248</div>,<div style='color: blue'>172.37037037037038</div><div style='color: red'>250.96296296296296</div><div style='color: green'>304.92906643590936</div>,<div style='color: blue'>0.0</div><div style='color: red'>431.8076923076923</div><div style='color: green'>465.60993429756985</div>,<div style='color: blue'>0.0</div><div style='color: red'>464.7307692307692</div><div style='color: green'>438.79051815451936</div>,<div style='color: blue'></div><div style='color: red'></div><div style='color: green'></div>,<div style='color: blue'></div><div style='color: red'></div><div style='color: green'></div>,<div style='color: blue'></div><div style='color: red'></div><div style='color: green'></div>,<div style='color: blue'></div><div style='color: red'></div><div style='color: green'></div>
2,<div style='color: blue'>2021-10-01</div>,<div style='color: blue'></div><div style='color: red'></div><div style='color: green'></div>,<div style='color: blue'></div><div style='color: red'></div><div style='color: green'></div>,<div style='color: blue'>16.85185185185185</div><div style='color: red'>36.18518518518518</div><div style='color: green'>38.1650576974318</div>,<div style='color: blue'>49.714285714285715</div><div style='color: red'>44.57142857142857</div><div style='color: green'>59.285714285714285</div>,<div style='color: blue'>144.67857142857142</div><div style='color: red'>101.21428571428571</div><div style='color: green'>179.36276874762248</div>,<div style='color: blue'>202.07407407407408</div><div style='color: red'>250.96296296296296</div><div style='color: green'>304.9290664359094</div>,<div style='color: blue'>239.7037037037037</div><div style='color: red'>415.81481481481484</div><div style='color: green'>448.3651219161784</div>,<div style='color: blue'>0.0</div><div style='color: red'>464.7307692307692</div><div style='color: green'>438.79051815451936</div>,<div style='color: blue'></div><div style='color: red'></div><div style='color: green'></div>,<div style='color: blue'></div><div style='color: red'></div><div style='color: green'></div>,<div style='color: blue'></div><div style='color: red'></div><div style='color: green'></div>,<div style='color: blue'></div><div style='color: red'></div><div style='color: green'></div>
3,<div style='color: blue'>2021-11-01</div>,<div style='color: blue'></div><div style='color: red'></div><div style='color: green'></div>,<div style='color: blue'></div><div style='color: red'></div><div style='color: green'></div>,<div style='color: blue'></div><div style='color: red'></div><div style='color: green'></div>,<div style='color: blue'>81.0</div><div style='color: red'>44.57142857142857</div><div style='color: green'>59.285714285714285</div>,<div style='color: blue'>153.28571428571428</div><div style='color: red'>101.21428571428571</div><div style='color: green'>179.36276874762248</div>,<div style='color: blue'>217.14814814814815</div><div style='color: red'>250.96296296296296</div><div style='color: green'>304.9290664359094</div>,<div style='color: blue'>237.1851851851852</div><div style='color: red'>415.81481481481484</div><div style='color: green'>448.3651219161784</div>,<div style='color: blue'>224.5185185185185</div><div style='color: red'>447.51851851851853</div><div style='color: green'>422.5390174821298</div>,<div style='color: blue'></div><div style='color: red'></div><div style='color: green'></div>,<div style='color: blue'></div><div style='color: red'></div><div style='color: green'></div>,<div style='color: blue'></div><div style='color: red'></div><div style='color: green'></div>,<div style='color: blue'></div><div style='color: red'></div><div style='color: green'></div>
4,<div style='color: blue'>2021-12-01</div>,<div style='color: blue'></div><div style='color: red'></div><div style='color: green'></div>,<div style='color: blue'></div><div style='color: red'></div><div style='color: green'></div>,<div style='color: blue'></div><div style='color: red'></div><div style='color: green'></div>,<div style='color: blue'></div><div style='color: red'></div><div style='color: green'></div>,<div style='color: blue'>80.17857142857143</div><div style='color: red'>101.21428571428571</div><div style='color: green'>179.36276874762248</div>,<div style='color: blue'>143.77777777777777</div><div style='color: red'>250.96296296296296</div><div style='color: green'>304.9290664359094</div>,<div style='color: blue'>210.66666666666666</div><div style='color: red'>415.81481481481484</div><div style='color: green'>448.3651219161784</div>,<div style='color: blue'>209.92592592592592</div><div style='color: red'>447.51851851851853</div><div style='color: green'>422.5390174821298</div>,<div style='color: blue'>168.65384615384616</div><div style='color: red'>0.0</div><div style='color: green'>658.6006696710297</div>,<div style='color: blue'></div><div style='color: red'></div><div style='color: green'></div>,<div style='color: blue'></div><div style='color: red'></div><div style='color: green'></div>,<div style='color: blue'></div><div style='color: red'></div><div style='color: green'></div>
5,<div style='color: blue'>2022-01-01</div>,<div style='color: blue'></div><div style='color: red'></div><div style='color: green'></div>,<div style='color: blue'></div><div style='color: red'></div><div style='color: green'></div>,<div style='color: blue'></div><div style='color: red'></div><div style='color: green'></div>,<div style='color: blue'></div><div style='color: red'></div><div style='color: green'></div>,<div style='color: blue'></div><div style='color: red'></div><div style='color: green'></div>,<div style='color: blue'>172.25925925925927</div><div style='color: red'>250.96296296296296</div><div style='color: green'>304.9290664359094</div>,<div style='color: blue'>226.74074074074073</div><div style='color: red'>415.81481481481484</div><div style='color: green'>448.3651219161784</div>,<div style='color: blue'>222.4814814814815</div><div style='color: red'>447.51851851851853</div><div style='color: green'>422.5390174821298</div>,<div style='color: blue'>178.5</div><div style='color: red'>0.0</div><div style='color: green'>658.6006696710297</div>,<div style='color: blue'>495.7307692307692</div><div style='color: red'>0.0</div><div style='color: green'>590.7692307692307</div>,<div style='color: blue'></div><div style='color: red'></div><div style='color: green'></div>,<div style='color: blue'></div><div style='color: red'></div><div style='color: green'></div>
6,<div style='color: blue'>2022-02-01</div>,<div style='color: blue'></div><div style='color: red'></div><div style='color: green'></div>,<div style='color: blue'></div><div style='color: red'></div><div style='color: green'></div>,<div style='color: blue'></div><div style='color: red'></div><div style='color: green'></div>,<div style='color: blue'></div><div style='color: red'></div><div style='color: green'></div>,<div style='color: blue'></div><div style='color: red'></div><div style='color: green'></div>,<div style='color: blue'></div><div style='color: red'></div><div style='color: green'></div>,<div style='color: blue'>236.03846153846155</div><div style='color: red'>431.8076923076923</div><div style='color: green'>465.60993429756985</div>,<div style='color: blue'>264.88461538461536</div><div style='color: red'>464.7307692307692</div><div style='color: green'>438.79051815451936</div>,<div style='color: blue'>267.11538461538464</div><div style='color: red'>0.0</div><div style='color: green'>680.5023275151641</div>,<div style='color: blue'>513.5</div><div style='color: red'>0.0</div><div style='color: green'>617.6923076923077</div>,<div style='color: blue'>448.34615384615387</div><div style='color: red'>0.0</div><div style='color: green'>180.42307692307693</div>,<div style='color: blue'></div><div style='color: red'></div><div style='color: green'></div>
7,<div style='color: blue'>2022-03-01</div>,<div style='color: blue'></div><div style='color: red'></div><div style='color: green'></div>,<div style='color: blue'></div><div style='color: red'></div><div style='color: green'></div>,<div style='color: blue'></div><div style='color: red'></div><div style='color: green'></div>,<div style='color: blue'></div><div style='color: red'></div><div style='color: green'></div>,<div style='color: blue'></div><div style='color: red'></div><div style='color: green'></div>,<div style='color: blue'></div><div style='color: red'></div><div style='color: green'></div>,<div style='color: blue'></div><div style='color: red'></div><div style='color: green'></div>,<div style='color: blue'>440.0</div><div style='color: red'>464.7307692307692</div><div style='color: green'>438.79051815451936</div>,<div style='color: blue'>373.0357142857143</div><div style='color: red'>0.0</div><div style='color: green'>631.8950184069381</div>,<div style='color: blue'>772.0</div><div style='color: red'>0.0</div><div style='color: green'>573.5714285714286</div>,<div style='color: blue'>458.25</div><div style='color: red'>0.0</div><div style='color: green'>167.53571428571428</div>,<div style='color: blue'>68.25</div><div style='color: red'>0.0</div><div style='color: green'>98.57142857142857</div>
8,<div style='color: blue'>2022-04-01</div>,<div style='color: blue'></div><div style='color: red'></div><div style='color: green'></div>,<div style='color: blue'></div><div style='color: red'></div><div style='color: green'></div>,<div style='color: blue'></div><div style='color: red'></div><div style='color: green'></div>,<div style='color: blue'></div><div style='color: red'></div><div style='color: green'></div>,<div style='color: blue'></div><div style='color: red'></div><div style='color: green'></div>,<div style='color: blue'></div><div style='color: red'></div><div style='color: green'></div>,<div style='color: blue'></div><div style='color: red'></div><div style='color: green'></div>,<div style='color: blue'></div><div style='color: red'></div><div style='color: green'></div>,<div style='color: blue'>373.0357142857143</div><div style='color: red'>0.0</div><div style='color: green'>631.8950184069381</div>,<div style='color: blue'>772.0</div><div style='color: red'>0.0</div><div style='color: green'>573.5714285714286</div>,<div style='color: blue'>458.25</div><div style='color: red'>0.0</div><div style='color: green'>167.53571428571428</div>,<div style='color: blue'>68.25</div><div style='color: red'>0.0</div><div style='color: green'>98.57142857142857</div>
